competitionId,competitionName,seasonId,seasonName,clubId,clubName,clubimageurl,transferkpi,estimated,intangibleAssets,tangibleAssets,financialAssets,inventory,shortTermCredit,longTermCredit,cashAndCashEquivalents,otherAssets,totalAssets,capital,shortTermDebt,longTermDebt,reservesAndProvisions,retainedEarnings,otherLiabilities,totalLiabilities,matchdays,broadcasting,commercial,revenuesFromPlayerTrading,otherIncome,totalRevenues,amortizationsAndDeprecations,personnel,costsFromPlayerTrading,otherExpenses,totalCosts,totalOperationalResult,netResultFromPlayerTrading,earningsBeforeInterestAndTaxes,financialResult,earningsBeforeTaxes,taxes,netProfit
561,Premier League,862,2024/2025,2083,Leicester City,https://cdn5.wyscout.com/photos/team/public/326_120x120.png,12,false,137175000.0,230100000.0,,2818000.0,74001000.0,18357000.0,5208000.0,,467659000.0,502946000.0,244958000.0,89288000.0,68359000.0,-437891000.0,,467660000.0,23665000.0,136999000.0,54397000.0,,2816000.0,217877000.0,73559000.0,178464000.0,,45888000.0,297911000.0,-80034000.0,8481000.0,-71553000.0,-11445000.0,-82998000.0,-127000.0,-83125000.0
561,Premier League,862,2024/2025,2121,Liverpool,https://cdn5.wyscout.com/photos/team/public/24_120x120.png,12.7,false,367428000.0,343671000.0,,16742000.0,137383000.0,29150000.0,2795000.0,,897169000.0,191000.0,539589000.0,166780000.0,245812000.0,-55202000.0,,897170000.0,127150000.0,290025000.0,355819000.0,,14181000.0,787175000.0,144991000.0,470500000.0,,204142000.0,819633000.0,-32458000.0,58595000.0,26137000.0,-9404000.0,16733000.0,-7633000.0,9100000.0
561,Premier League,862,2024/2025,2175,Manchester City,https://cdn5.wyscout.com/photos/team/public/23_120x120.png,25.5,false,719407000.0,629103000.0,,,606338000.0,37459000.0,191096000.0,,2183403000.0,1473533000.0,773795000.0,465397000.0,52934000.0,-582255000.0,,2183404000.0,82592000.0,306490000.0,374421000.0,,3119000.0,766622000.0,203234000.0,449243000.0,,216777000.0,869254000.0,-102632000.0,104731000.0,2099000.0,-13006000.0,-10907000.0,,-10907000.0
561,Premier League,862,2024/2025,2188,Manchester United,https://cdn5.wyscout.com/photos/team/public/22_120x120.png,26.5,false,1070962000.0,321567000.0,21376000.0,14359000.0,202826000.0,731823000.0,94632000.0,519000.0,2458064000.0,234476000.0,843074000.0,760131000.0,539882000.0,73900000.0,6602000.0,2458065000.0,176289000.0,190275000.0,366601000.0,,8152000.0,741317000.0,274942000.0,382281000.0,,149326000.0,806549000.0,-65232000.0,53616000.0,-11616000.0,-21856000.0,-33472000.0,5653000.0,-27819000.0
561,Premier League,862,2024/2025,2263,Newcastle United,https://cdn5.wyscout.com/photos/team/public/36_120x120.png,21.3,false,328048000.0,38323000.0,4000.0,5669000.0,294458000.0,26829000.0,14585000.0,,707916000.0,29539000.0,286843000.0,42042000.0,536809000.0,-187317000.0,,707916000.0,59582000.0,187761000.0,126439000.0,,3287000.0,377069000.0,116500000.0,281636000.0,,109825000.0,507961000.0,-130892000.0,23187000.0,-107705000.0,139251000.0,31546000.0,-9677000.0,21869000.0
561,Premier League,862,2024/2025,2304,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,19.3,false,196769000.0,35763000.0,,2100000.0,82251000.0,,14546000.0,,331429000.0,322706000.0,177299000.0,159859000.0,92741000.0,-421175000.0,,331430000.0,22276000.0,174460000.0,42362000.0,,4822000.0,243920000.0,83709000.0,183316000.0,,48315000.0,315340000.0,-71420000.0,7719000.0,-63701000.0,-23112000.0,-86813000.0,,-86813000.0
561,Premier League,862,2024/2025,2550,Southampton,https://cdn5.wyscout.com/photos/team/public/308_120x120.png,17.1,false,136967000.0,27251000.0,,503000.0,26346000.0,3349000.0,10907000.0,,205323000.0,585000.0,282375000.0,53084000.0,36660000.0,-167380000.0,,205324000.0,24246000.0,133835000.0,22949000.0,,2788000.0,183818000.0,65460000.0,132982000.0,,58023000.0,256465000.0,-72647000.0,33185000.0,-39462000.0,-13390000.0,-52852000.0,581000.0,-52271000.0
561,Premier League,862,2024/2025,2689,Tottenham Hotspur,https://cdn5.wyscout.com/photos/team/public/26_120x120.png,24.5,false,483007000.0,2161414000.0,16000.0,16114000.0,63083000.0,48467000.0,23821000.0,111000.0,2796033000.0,13700000.0,602612000.0,1289194000.0,975808000.0,-89293000.0,4012000.0,2796033000.0,147587000.0,148194000.0,322893000.0,,40961000.0,659635000.0,237670000.0,298518000.0,,243600000.0,779788000.0,-120153000.0,61341000.0,-58812000.0,-81955000.0,-140767000.0,30296000.0,-110471000.0
561,Premier League,862,2024/2025,2771,West Ham United,https://cdn5.wyscout.com/photos/team/public/27_120x120.png,14,false,245467000.0,39010000.0,,2000000.0,22862000.0,15874000.0,464000.0,,325677000.0,6050000.0,456716000.0,99903000.0,19922000.0,-256913000.0,,325678000.0,42430000.0,145620000.0,60613000.0,,4286000.0,252949000.0,112211000.0,190669000.0,,70487000.0,373367000.0,-120418000.0,21949000.0,-98469000.0,-21259000.0,-119728000.0,639000.0,-119089000.0
561,Premier League,862,2024/2025,2833,Wolverhampton Wanderers,https://cdn5.wyscout.com/photos/team/public/319_120x120.png,12.5,false,195747000.0,5986000.0,,,98473000.0,137086000.0,39022000.0,,476314000.0,3501000.0,500346000.0,188659000.0,35628000.0,-251820000.0,,476314000.0,25400000.0,146558000.0,28728000.0,,1662000.0,202348000.0,89823000.0,189147000.0,,60259000.0,339229000.0,-136881000.0,136514000.0,-367000.0,-13205000.0,-13572000.0,,-13572000.0
561,Premier League,1773,2023/2024,1255,Arsenal,https://cdn5.wyscout.com/photos/team/public/21_120x120.png,31.6,false,535307000.0,427761000.0,,20791000.0,78445000.0,18751000.0,73501000.0,,1154556000.0,68000.0,459845000.0,501349000.0,120997000.0,72298000.0,,1154557000.0,144817000.0,288477000.0,240095000.0,,4849000.0,678238000.0,208186000.0,360604000.0,,164809000.0,733599000.0,-55361000.0,56180000.0,819000.0,-20275000.0,-19456000.0,,-19456000.0
561,Premier League,1773,2023/2024,1281,Aston Villa,https://cdn5.wyscout.com/photos/team/public/32_120x120.png,19.2,false,309902000.0,71220000.0,,73000.0,,140350000.0,58078000.0,9538000.0,589161000.0,418408000.0,290089000.0,68026000.0,677148000.0,-864511000.0,,589160000.0,30810000.0,187790000.0,69606000.0,,20683000.0,308889000.0,113016000.0,277254000.0,,78432000.0,468702000.0,-159813000.0,71184000.0,-88629000.0,-5854000.0,-94483000.0,538000.0,-93945000.0
561,Premier League,1773,2023/2024,1423,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,22.1,false,242458000.0,41290000.0,,442000.0,10203000.0,,7814000.0,,302207000.0,159903000.0,215688000.0,128333000.0,13000.0,-201730000.0,,302207000.0,7184000.0,149194000.0,15028000.0,,15172000.0,186578000.0,69863000.0,149787000.0,,28629000.0,248279000.0,-61701000.0,276000.0,-61425000.0,-11342000.0,-72767000.0,,-72767000.0
